Comunidad autónoma de destino;Periodo;Total
14 Murcia, Región de;2023M01;59.537
14 Murcia, Región de;2022M12;47.517
14 Murcia, Región de;2022M11;39.999
14 Murcia, Región de;2022M10;65.418
14 Murcia, Región de;2022M09;84.425
14 Murcia, Región de;2022M08;105.005
14 Murcia, Región de;2022M07;124.620
14 Murcia, Región de;2022M06;72.230
14 Murcia, Región de;2022M05;74.749
14 Murcia, Región de;2022M04;81.922
14 Murcia, Región de;2022M03;50.803
14 Murcia, Región de;2022M02;35.504
14 Murcia, Región de;2022M01;39.041
14 Murcia, Región de;2021M12;47.624
14 Murcia, Región de;2021M11;39.872
14 Murcia, Región de;2021M10;67.603
14 Murcia, Región de;2021M09;62.377
14 Murcia, Región de;2021M08;61.725
14 Murcia, Región de;2021M07;50.146
14 Murcia, Región de;2021M06;24.099
14 Murcia, Región de;2021M05;14.672
14 Murcia, Región de;2021M04;5.587
14 Murcia, Región de;2021M03;2.506
14 Murcia, Región de;2021M02;2.212
14 Murcia, Región de;2021M01;6.806
14 Murcia, Región de;2020M12;8.208
14 Murcia, Región de;2020M11;5.610
14 Murcia, Región de;2020M10;16.894
14 Murcia, Región de;2020M09;17.761
14 Murcia, Región de;2020M08;40.072
14 Murcia, Región de;2020M07;40.628
14 Murcia, Región de;2020M06;1.841
14 Murcia, Región de;2020M05;.
14 Murcia, Región de;2020M04;.
14 Murcia, Región de;2020M03;27.420
14 Murcia, Región de;2020M02;68.750
14 Murcia, Región de;2020M01;52.061
14 Murcia, Región de;2019M12;37.938
14 Murcia, Región de;2019M11;48.883
14 Murcia, Región de;2019M10;83.628
14 Murcia, Región de;2019M09;111.170
14 Murcia, Región de;2019M08;150.187
14 Murcia, Región de;2019M07;140.376
14 Murcia, Región de;2019M06;103.546
14 Murcia, Región de;2019M05;94.521
14 Murcia, Región de;2019M04;104.609
14 Murcia, Región de;2019M03;56.529
14 Murcia, Región de;2019M02;55.552
14 Murcia, Región de;2019M01;50.880
14 Murcia, Región de;2018M12;50.250
14 Murcia, Región de;2018M11;52.376
14 Murcia, Región de;2018M10;112.675
14 Murcia, Región de;2018M09;118.832
14 Murcia, Región de;2018M08;144.413
14 Murcia, Región de;2018M07;153.107
14 Murcia, Región de;2018M06;104.715
14 Murcia, Región de;2018M05;110.828
14 Murcia, Región de;2018M04;107.628
14 Murcia, Región de;2018M03;87.104
14 Murcia, Región de;2018M02;43.490
14 Murcia, Región de;2018M01;48.771
14 Murcia, Región de;2017M12;63.176
14 Murcia, Región de;2017M11;69.430
14 Murcia, Región de;2017M10;92.335
14 Murcia, Región de;2017M09;83.224
14 Murcia, Región de;2017M08;136.977
14 Murcia, Región de;2017M07;127.273
14 Murcia, Región de;2017M06;75.891
14 Murcia, Región de;2017M05;65.688
14 Murcia, Región de;2017M04;110.740
14 Murcia, Región de;2017M03;75.755
14 Murcia, Región de;2017M02;49.328
14 Murcia, Región de;2017M01;41.392
14 Murcia, Región de;2016M12;54.299
14 Murcia, Región de;2016M11;50.622
14 Murcia, Región de;2016M10;91.398
14 Murcia, Región de;2016M09;75.391
14 Murcia, Región de;2016M08;162.569
14 Murcia, Región de;2016M07;93.627
14 Murcia, Región de;2016M06;88.353
14 Murcia, Región de;2016M05;62.265
14 Murcia, Región de;2016M04;109.749
14 Murcia, Región de;2016M03;59.014
14 Murcia, Región de;2016M02;46.519
14 Murcia, Región de;2016M01;30.499
14 Murcia, Región de;2015M12;36.204
14 Murcia, Región de;2015M11;33.701
14 Murcia, Región de;2015M10;108.006
15 Navarra, Comunidad Foral de;2024M12;.
15 Navarra, Comunidad Foral de;2024M11;.
15 Navarra, Comunidad Foral de;2024M10;.
15 Navarra, Comunidad Foral de;2024M09;44.656
15 Navarra, Comunidad Foral de;2024M08;59.769
15 Navarra, Comunidad Foral de;2024M07;88.445
15 Navarra, Comunidad Foral de;2024M06;37.211
15 Navarra, Comunidad Foral de;2024M05;56.473
15 Navarra, Comunidad Foral de;2024M04;.
15 Navarra, Comunidad Foral de;2024M03;.
15 Navarra, Comunidad Foral de;2024M02;.
15 Navarra, Comunidad Foral de;2024M01;11.823
15 Navarra, Comunidad Foral de;2023M12;.
15 Navarra, Comunidad Foral de;2023M11;30.460
15 Navarra, Comunidad Foral de;2023M10;33.737
15 Navarra, Comunidad Foral de;2023M09;36.060
15 Navarra, Comunidad Foral de;2023M08;31.942
15 Navarra, Comunidad Foral de;2023M07;62.326
15 Navarra, Comunidad Foral de;2023M06;22.837
15 Navarra, Comunidad Foral de;2023M05;41.432
15 Navarra, Comunidad Foral de;2023M04;.
15 Navarra, Comunidad Foral de;2023M03;.
15 Navarra, Comunidad Foral de;2023M02;.
15 Navarra, Comunidad Foral de;2023M01;13.669
15 Navarra, Comunidad Foral de;2022M12;.
15 Navarra, Comunidad Foral de;2022M11;13.492
15 Navarra, Comunidad Foral de;2022M10;26.100
15 Navarra, Comunidad Foral de;2022M09;27.370
15 Navarra, Comunidad Foral de;2022M08;25.787
15 Navarra, Comunidad Foral de;2022M07;65.371
15 Navarra, Comunidad Foral de;2022M06;18.408
15 Navarra, Comunidad Foral de;2022M05;24.220
15 Navarra, Comunidad Foral de;2022M04;.
15 Navarra, Comunidad Foral de;2022M03;14.508
15 Navarra, Comunidad Foral de;2022M02;.
15 Navarra, Comunidad Foral de;2022M01;12.526
15 Navarra, Comunidad Foral de;2021M12;.
15 Navarra, Comunidad Foral de;2021M11;20.487
15 Navarra, Comunidad Foral de;2021M10;19.717
15 Navarra, Comunidad Foral de;2021M09;13.831
15 Navarra, Comunidad Foral de;2021M08;16.865
15 Navarra, Comunidad Foral de;2021M07;12.620
15 Navarra, Comunidad Foral de;2021M06;5.796
15 Navarra, Comunidad Foral de;2021M05;.
15 Navarra, Comunidad Foral de;2021M04;.
15 Navarra, Comunidad Foral de;2021M03;.
15 Navarra, Comunidad Foral de;2021M02;.
15 Navarra, Comunidad Foral de;2021M01;.
15 Navarra, Comunidad Foral de;2020M12;.
15 Navarra, Comunidad Foral de;2020M11;.
15 Navarra, Comunidad Foral de;2020M10;.
15 Navarra, Comunidad Foral de;2020M09;.
15 Navarra, Comunidad Foral de;2020M08;.
15 Navarra, Comunidad Foral de;2020M07;.
15 Navarra, Comunidad Foral de;2020M06;.
15 Navarra, Comunidad Foral de;2020M05;.
15 Navarra, Comunidad Foral de;2020M04;.
15 Navarra, Comunidad Foral de;2020M03;.
15 Navarra, Comunidad Foral de;2020M02;.
15 Navarra, Comunidad Foral de;2020M01;.
15 Navarra, Comunidad Foral de;2019M12;.
15 Navarra, Comunidad Foral de;2019M11;.
15 Navarra, Comunidad Foral de;2019M10;.
15 Navarra, Comunidad Foral de;2019M09;40.940
15 Navarra, Comunidad Foral de;2019M08;76.523
15 Navarra, Comunidad Foral de;2019M07;90.325
15 Navarra, Comunidad Foral de;2019M06;45.871
15 Navarra, Comunidad Foral de;2019M05;.
15 Navarra, Comunidad Foral de;2019M04;.
15 Navarra, Comunidad Foral de;2019M03;.
15 Navarra, Comunidad Foral de;2019M02;.
15 Navarra, Comunidad Foral de;2019M01;.
15 Navarra, Comunidad Foral de;2018M12;.
15 Navarra, Comunidad Foral de;2018M11;.
15 Navarra, Comunidad Foral de;2018M10;.
15 Navarra, Comunidad Foral de;2018M09;41.888
15 Navarra, Comunidad Foral de;2018M08;44.557
15 Navarra, Comunidad Foral de;2018M07;53.863
15 Navarra, Comunidad Foral de;2018M06;32.744
15 Navarra, Comunidad Foral de;2018M05;.
15 Navarra, Comunidad Foral de;2018M04;.
15 Navarra, Comunidad Foral de;2018M03;.
15 Navarra, Comunidad Foral de;2018M02;.
15 Navarra, Comunidad Foral de;2018M01;.
15 Navarra, Comunidad Foral de;2017M12;.
15 Navarra, Comunidad Foral de;2017M11;.
15 Navarra, Comunidad Foral de;2017M10;.
15 Navarra, Comunidad Foral de;2017M09;24.541
15 Navarra, Comunidad Foral de;2017M08;41.447
15 Navarra, Comunidad Foral de;2017M07;91.072
15 Navarra, Comunidad Foral de;2017M06;.
15 Navarra, Comunidad Foral de;2017M05;33.712
15 Navarra, Comunidad Foral de;2017M04;.
15 Navarra, Comunidad Foral de;2017M03;.
15 Navarra, Comunidad Foral de;2017M02;.
15 Navarra, Comunidad Foral de;2017M01;14.513
15 Navarra, Comunidad Foral de;2016M12;.
15 Navarra, Comunidad Foral de;2016M11;16.003
15 Navarra, Comunidad Foral de;2016M10;29.609
15 Navarra, Comunidad Foral de;2016M09;39.160
15 Navarra, Comunidad Foral de;2016M08;38.112
15 Navarra, Comunidad Foral de;2016M07;59.795
15 Navarra, Comunidad Foral de;2016M06;.
15 Navarra, Comunidad Foral de;2016M05;22.020
15 Navarra, Comunidad Foral de;2016M04;28.685
15 Navarra, Comunidad Foral de;2016M03;.
15 Navarra, Comunidad Foral de;2016M02;7.383
15 Navarra, Comunidad Foral de;2016M01;12.020
15 Navarra, Comunidad Foral de;2015M12;12.138
15 Navarra, Comunidad Foral de;2015M11;17.567
15 Navarra, Comunidad Foral de;2015M10;24.700
16 País Vasco;2024M12;118.422
16 País Vasco;2024M11;143.218
16 País Vasco;2024M10;231.766
16 País Vasco;2024M09;186.079
16 País Vasco;2024M08;263.309
16 País Vasco;2024M07;258.259
16 País Vasco;2024M06;184.756
16 País Vasco;2024M05;196.188
16 País Vasco;2024M04;212.572
16 País Vasco;2024M03;148.912
16 País Vasco;2024M02;115.644
16 País Vasco;2024M01;106.561
16 País Vasco;2023M12;180.463
16 País Vasco;2023M11;96.324
16 País Vasco;2023M10;183.679
16 País Vasco;2023M09;167.256
16 País Vasco;2023M08;269.524
16 País Vasco;2023M07;243.031
16 País Vasco;2023M06;165.716
16 País Vasco;2023M05;192.492
16 País Vasco;2023M04;140.963
16 País Vasco;2023M03;143.214
16 País Vasco;2023M02;135.734
16 País Vasco;2023M01;83.778
16 País Vasco;2022M12;115.478
16 País Vasco;2022M11;115.889
16 País Vasco;2022M10;128.604
16 País Vasco;2022M09;139.097
16 País Vasco;2022M08;191.159
16 País Vasco;2022M07;212.473
16 País Vasco;2022M06;133.234
16 País Vasco;2022M05;153.992
16 País Vasco;2022M04;136.445
16 País Vasco;2022M03;74.603
16 País Vasco;2022M02;75.308
16 País Vasco;2022M01;68.732
16 País Vasco;2021M12;83.982
16 País Vasco;2021M11;68.201
16 País Vasco;2021M10;99.068
16 País Vasco;2021M09;91.478
16 País Vasco;2021M08;89.030
16 País Vasco;2021M07;100.509
16 País Vasco;2021M06;41.865
16 País Vasco;2021M05;32.892
16 País Vasco;2021M04;14.963
16 País Vasco;2021M03;16.832
16 País Vasco;2021M02;11.749
16 País Vasco;2021M01;18.114
16 País Vasco;2020M12;22.029
16 País Vasco;2020M11;14.070
16 País Vasco;2020M10;44.566
16 País Vasco;2020M09;62.367
16 País Vasco;2020M08;81.153
16 País Vasco;2020M07;92.324
16 País Vasco;2020M06;9.884
16 País Vasco;2020M05;.
16 País Vasco;2020M04;.
16 País Vasco;2020M03;56.127
16 País Vasco;2020M02;72.839
16 País Vasco;2020M01;71.928
16 País Vasco;2019M12;93.080
16 País Vasco;2019M11;72.141
16 País Vasco;2019M10;147.154
16 País Vasco;2019M09;162.577
16 País Vasco;2019M08;213.221
16 País Vasco;2019M07;185.672
16 País Vasco;2019M06;167.157
16 País Vasco;2019M05;122.805
16 País Vasco;2019M04;141.918
16 País Vasco;2019M03;98.983
16 País Vasco;2019M02;103.806
16 País Vasco;2019M01;102.767
16 País Vasco;2018M12;71.304
16 País Vasco;2018M11;94.851
16 País Vasco;2018M10;164.158
16 País Vasco;2018M09;164.967
16 País Vasco;2018M08;221.598
16 País Vasco;2018M07;203.367
16 País Vasco;2018M06;110.507
16 País Vasco;2018M05;159.055
16 País Vasco;2018M04;122.164
16 País Vasco;2018M03;92.447
16 País Vasco;2018M02;66.902
16 País Vasco;2018M01;81.069
16 País Vasco;2017M12;64.006
16 País Vasco;2017M11;104.805
16 País Vasco;2017M10;163.287
16 País Vasco;2017M09;163.289
16 País Vasco;2017M08;232.484
16 País Vasco;2017M07;187.883
16 País Vasco;2017M06;119.508
16 País Vasco;2017M05;145.446
16 País Vasco;2017M04;110.171
16 País Vasco;2017M03;82.018
16 País Vasco;2017M02;80.415
16 País Vasco;2017M01;61.452
16 País Vasco;2016M12;68.566
16 País Vasco;2016M11;82.265
16 País Vasco;2016M10;129.010
16 País Vasco;2016M09;141.016
16 País Vasco;2016M08;196.230
16 País Vasco;2016M07;202.254
16 País Vasco;2016M06;103.293
16 País Vasco;2016M05;130.412
16 País Vasco;2016M04;102.885
16 País Vasco;2016M03;98.123
16 País Vasco;2016M02;67.922
16 País Vasco;2016M01;60.108
16 País Vasco;2015M12;98.103
16 País Vasco;2015M11;67.554
16 País Vasco;2015M10;124.023
17 Rioja, La;2024M12;.
17 Rioja, La;2024M11;.
17 Rioja, La;2024M10;.
17 Rioja, La;2024M09;13.942
17 Rioja, La;2024M08;.
17 Rioja, La;2024M07;.
17 Rioja, La;2024M06;.
17 Rioja, La;2024M05;.
17 Rioja, La;2024M04;.
17 Rioja, La;2024M03;.
17 Rioja, La;2024M02;.
17 Rioja, La;2024M01;.
17 Rioja, La;2023M12;.
17 Rioja, La;2023M11;.
17 Rioja, La;2023M10;.
17 Rioja, La;2023M09;.
17 Rioja, La;2023M08;.
17 Rioja, La;2023M07;.
17 Rioja, La;2023M06;.
17 Rioja, La;2023M05;10.759
17 Rioja, La;2023M04;.
17 Rioja, La;2023M03;.
17 Rioja, La;2023M02;.
17 Rioja, La;2023M01;.
17 Rioja, La;2022M12;.
17 Rioja, La;2022M11;.
17 Rioja, La;2022M10;.
17 Rioja, La;2022M09;.
17 Rioja, La;2022M08;.
17 Rioja, La;2022M07;.
17 Rioja, La;2022M06;.
17 Rioja, La;2022M05;.
17 Rioja, La;2022M04;.
17 Rioja, La;2022M03;.
17 Rioja, La;2022M02;.
17 Rioja, La;2022M01;.
17 Rioja, La;2021M12;.
17 Rioja, La;2021M11;.
17 Rioja, La;2021M10;.
17 Rioja, La;2021M09;.
17 Rioja, La;2021M08;.
17 Rioja, La;2021M07;.
17 Rioja, La;2021M06;.
17 Rioja, La;2021M05;.
17 Rioja, La;2021M04;.
17 Rioja, La;2021M03;.
17 Rioja, La;2021M02;.
17 Rioja, La;2021M01;.
17 Rioja, La;2020M12;.
17 Rioja, La;2020M11;.
17 Rioja, La;2020M10;.
17 Rioja, La;2020M09;.
17 Rioja, La;2020M08;.
17 Rioja, La;2020M07;.
17 Rioja, La;2020M06;.
17 Rioja, La;2020M05;.
17 Rioja, La;2020M04;.
17 Rioja, La;2020M03;.
17 Rioja, La;2020M02;.
17 Rioja, La;2020M01;.
17 Rioja, La;2019M12;.
17 Rioja, La;2019M11;.
17 Rioja, La;2019M10;.
17 Rioja, La;2019M09;12.374
17 Rioja, La;2019M08;15.774
17 Rioja, La;2019M07;.
17 Rioja, La;2019M06;.
17 Rioja, La;2019M05;.
17 Rioja, La;2019M04;.
17 Rioja, La;2019M03;.
17 Rioja, La;2019M02;.
17 Rioja, La;2019M01;.
17 Rioja, La;2018M12;.
17 Rioja, La;2018M11;.
17 Rioja, La;2018M10;.
17 Rioja, La;2018M09;.
17 Rioja, La;2018M08;.
17 Rioja, La;2018M07;.
17 Rioja, La;2018M06;22.014
17 Rioja, La;2018M05;.
17 Rioja, La;2018M04;.
17 Rioja, La;2018M03;.
17 Rioja, La;2018M02;.
17 Rioja, La;2018M01;.
17 Rioja, La;2017M12;.
17 Rioja, La;2017M11;.
17 Rioja, La;2017M10;.
17 Rioja, La;2017M09;.
17 Rioja, La;2017M08;.
17 Rioja, La;2017M07;.
17 Rioja, La;2017M06;.
17 Rioja, La;2017M05;.
17 Rioja, La;2017M04;.
17 Rioja, La;2017M03;.
17 Rioja, La;2017M02;.
17 Rioja, La;2017M01;.
17 Rioja, La;2016M12;.
17 Rioja, La;2016M11;.
17 Rioja, La;2016M10;17.463
17 Rioja, La;2016M09;14.644
17 Rioja, La;2016M08;.
17 Rioja, La;2016M07;.
17 Rioja, La;2016M06;.
17 Rioja, La;2016M05;.
17 Rioja, La;2016M04;.
17 Rioja, La;2016M03;.
17 Rioja, La;2016M02;.
17 Rioja, La;2016M01;.
17 Rioja, La;2015M12;7.001
17 Rioja, La;2015M11;.
17 Rioja, La;2015M10;.
